mensaje,etiqueta
⚠️Oferta exclusiva 20% OFF. Solo hoy: https://secure.paqueteria.site/promo?t=q94bfx,0
"Te envié un enlace, revísalo por favor: https://m.universidad.com/pedido?t=2bfan6rms (ref 8567)",0
Último aviso: verifica tu cuenta en https://m.empleo.site/promo?t=p2m8py 📦,1
¿Viste la promo del supermercado? Hay 40% en algunos productos.,0
"Hola Carlos, necesitamos confirmar tu información para completar el registro. Responde este mensaje.",1
"Hola Carlos, necesitamos confirmar tu información para completar el registro. Responde este mensaje.",1
"Hola Andrés, necesitamos confirmar tu información para completar el registro. Responde este mensaje.",1
💰Has ganado un premio en Pereira. Confirma datos en https://m.soporte.site/confirmar?t=01o3ula5o URGENTE,1
"Te envié un enlace, revísalo por favor: https://www.meet.co/detalle?t=cq2fi",0
"La factura del internet ya quedó pagada, te mando el comprobante por https://m.maps.com/promo?t=kev780",0
¿Sigues interesado en la oferta? Quedo atento. (ref 5750),0
Te comparto el enlace del drive del proyecto: https://secure.drive.org/detalle?t=de9g4ur🙏,0
Aquí está el link del curso para este fin de semana: https://www.drive.co/login?t=7hoze,0
⚠️Tu paquete está retenido. Confirma pago de $9.900 en https://secure.promo.co/login?t=sb7lz367t,1
Me llegó una alerta del banco; voy a llamar para confirmar y te cuento.😊 (ref 9509),0
Necesitamos validar unos datos para continuar. ¿Puedes responder cuando puedas?,0
Tu paquete está retenido. Confirma pago de 49.900 COP en https://app.docs.co/confirmar?t=vva230,1
"Hola Sofía, necesitamos confirmar tu información para completar el registro. Responde este mensaje.",1
"Hola María, ¿a qué hora nos vemos este fin de semana para la reunión?",0
Me llegó una alerta del banco; voy a llamar para confirmar y te cuento. (ref 1438),1
Se aprobó tu solicitud. Envía tu número de documento para continuar ✅,1
Has ganado un premio en Santa Marta. Confirma datos en https://www.universidad.site/archivo?t=61t1a0aj,1
Te comparto el enlace del drive del proyecto: https://secure.docs.site/pedido?t=3xbrdl7v,0
"Hola Diana, ¿a qué hora nos vemos la próxima semana para la reunión?",0
Tenemos una oportunidad laboral con pago semanal. ¿Te interesa? 💰,1
Aquí está el link del curso para hoy: https://empleo.co/link?t=3fex1u,0
💰FELICIDADES Daniel: bono de $49.900. Reclama en https://m.promo.info/login?t=gzzyqx2t7v,1
Te comparto el enlace del drive del proyecto: https://m.super.com/link?t=wbv6g3v6s,0
Se aprobó tu solicitud. Envía tu número de documento para continuar 👍 Contacto: 342 693 1883.,1
Te comparto el enlace del drive del proyecto: https://app.empleo.site/promo?t=ciw28fgrq🙏,0
Tenemos una oportunidad laboral con pago semanal. ¿Te interesa? 👍,1
Necesitamos validar unos datos para continuar. ¿Puedes responder cuando puedas?,1
"El mensajero dijo que el paquete llega el miércoles, ojalá sin problema.",0
💰FELICIDADES Sofía: bono de 59.000 COP. Reclama en https://www.tienda.com/promo?t=9isg07,1
¿Viste la promo del supermercado? Hay 30% en algunos productos.,0
"El mensajero dijo que el paquete llega el miércoles, ojalá sin problema.",0
"Hola Carlos, por favor confirma si recibiste el mensaje anterior ✅",0
"Te envié un enlace, revísalo por favor: https://app.empleo.info/archivo?t=mwd9o",0
"El mensajero dijo que el paquete llega la próxima semana, ojalá sin problema.",0
⚠️Oferta exclusiva 70% OFF. Solo hoy: https://app.empleo.com/ver?t=gdpma19c Contacto: 351 296 1755.,1
Tenemos una oportunidad laboral con pago semanal. ¿Te interesa?,1
"La factura del internet ya quedó pagada, te mando el comprobante por https://secure.paqueteria.org/ver?t=o7gdek1tv",0
Confirmación requerida para evitar el bloqueo de tu cuenta. Responde 'OK'. Contacto: 398 401 2617. URGENTE,1
¿Me puedes enviar el archivo que mencionaste? Gracias.,0
"Te envié un enlace, revísalo por favor: https://m.empleo.net/archivo?t=pa66sa",0
¿Sigues interesado en la oferta? Quedo atento.,1
"Hola Valentina, necesitamos confirmar tu información para completar el registro. Responde este mensaje.",1
"Voy en camino, llego en 15 minutos.",0
"El mensajero dijo que el paquete llega el martes, ojalá sin problema.",0
Crédito preaprobado hasta $79.900. Responde SI para info 🙏,1
📦Tu paquete está retenido. Confirma pago de $9.900 COP en https://www.maps.org/confirmar?t=6q7be,1
Puedes confirmar tu dirección en Bogotá para la entrega,0
Te comparto el enlace del drive del proyecto: https://m.meet.co/ver?t=3mcofn1wo,0
💰Has ganado un premio en Cartagena. Confirma datos en https://secure.tienda.org/login?t=b6yw7y,1
"La factura del internet ya quedó pagada, te mando el comprobante por https://www.meet.site/logint=8ndn0qli",0
Me llegó una alerta del banco; voy a llamar para confirmar y te cuento.,0
¿Sigues interesado en la oferta? Quedo atento.,1
"Te envié un enlace, revísalo por favor: https://empleo.net/promo?t=w3w58l5",0
¿Me puedes enviar el archivo que mencionaste? Gracias.,0
Necesitamos validar unos datos para continuar. ¿Puedes responder cuando puedas?,1
¿Sigues interesado en la oferta? Quedo atento.,0
"Te envié un enlace, revísalo por favor: https://app.empleo.co/login?t=meq7v2e",1
Puedes confrm tu dirección en Bucaramanga para la entrega,0
Confirmación requerida para evitar el bloqueo de tu cuenta. Responde 'OK'.,1
😊FELICIDADES Andrés: bono de $49.900. Reclama en https://m.meet.org/ver?t=el0efr,1
Aquí está el link del curso para el martes: https://app.universidad.info/link?t=cewrrmb2lq,0
¿Sigues interesado en la oferta? Quedo atento.,0
¿Puedes confirmar tu dirección en Pereira para la entrega?😊,0
Aquí está el link del curso para el viernes: https://app.soporte.info/login?t=dhtn1a🙏,0
Te comparto el enlace del drive del proyecto: https://www.promo.net/detalle?t=s9iascot,0
"El mensajero dijo que el paquete llega el jueves, ojalá sin problema.",0
⚠️Has ganado un premio en Villavicencio. Confirma datos en https://app.super.site/curso?t=9fgt8 URGENTE,1
Se aprobó tu solicitud. Envía tu número de documento para continuar 💰,1
🙏Has ganado un premio en Pereira. Confirma datos en https://m.paqueteria.com/invitacion?t=y7cdh,1
"Voy en camino, llego en 15 minutos.👍",0
Necesitamos validar unos datos para continuar. Puedes responder cuando puedas,0
Me llegó una alerta del banco; voy a llamar para confirmar y te cuento.,0
Aquí está el link del curso para hoy: https://www.promo.com/pedido?t=4wyz1k5,1
"Te envié un enlace, revísalo por favor: https://app.promo.info/detalle?t=9i9uvw9jlo",1
¿Viste la promo del supermercado? Hay 35% en algunos productos.,0
¿Me puedes enviar el archivo que mencionaste? Gracias.👍,0
"Hola Ana, ¿a qué hora nos vemos la próxima semana para la reunión?",0
¿Sigues interesado en la oferta? Quedo atento. Contacto: 392 875 5434.,1
"Hola Sofía, ¿a qué hora nos vemos esta tarde para la reunión?",0
"Hola Valentina, ¿a qué hora nos vemos esta tarde para la reunión?",0
Tu beneficio vence el martes. Reclama $59.000 en https://app.paqueteria.co/ver?t=iwn4nsw2hi,1
Confirmación requerida para evitar el bloqueo de tu cuenta. Responde 'OK'. Contacto: 331 711 2201. URGENTE,1
Necesitamos validar unos datos para continuar. ¿Puedes responder cuando puedas? URGENTE,1
😊Has ganado un premio en Ibagué. Confirma datos en https://app.super.site/curso?t=clgbhzuw,1
"Te envié un enlace, revísalo por favor: https://soporte.info/link?t=obqi3",1
¿Puedes revisar el documento y decirme si está listo para enviar?,0
Tenemos una oportunidad laboral con pago semanal. ¿Te interesa? 😊 Contacto: 354 837 5029.,1
¿Me puedes enviar el archivo que mencionaste? Gracias.,0
"Hola Carlos, por favor confirma si recibiste el mensaje anterior 🎁",0
"Hola Juan, necesitamos confirmar tu información para completar el registro. Responde este mensaje. Contacto: 385 151 8615.",1
"Estoy en Ibagué por trabajo, regreso el domingo.",0
⚠️ofrta exclusiva 70% OFF. Solo hoy: https://m.universidad.info/curso?t=898n817,1
Aquí está el link del curso para el viernes: https://docs.net/invitacion?t=g5ovvt3,0
Aquí está el link del curso para esta tarde: https://paqueteria.info/detalle?t=os3s2ll,0
"Aprovecha 25% de descuento, si te interesa te paso detalles.",1
Aquí está el link del curso para esta tarde: https://app.empleo.co/link?t=7t1m6,0
"La factura del internet ya quedó pagada, te mando el comprobante por https://www.promo.org/archivo?t=sne2aou",0
"Hola Diana, ¿a qué hora nos vemos esta noche para la reunión?",0
"El mensajero dijo que el paquete llega el lunes, ojalá sin problema. (ref 9564)",0
¿Sigues interesado en la oferta? Quedo atento.,1
Aquí está el link del curso para el martes: https://maps.co/curso?t=9anez👍 (ref 8777),0
"La factura del internet ya quedó pagada, te mando el comprobante por https://drive.co/ver?t=mazkzsz",0
Tu beneficio vence este fin de semana. Reclama 399.000 COP en https://m.soporte.org/archivo?t=8tg6i45f5h,1
⚠️FELICIDADES Daniel: bono de 599.000 COP. Reclama en https://secure.meet.info/link?t=6o43n,1
Alerta banco: intento de compra. Confirma en https://m.paqueteria.org/confirmart=2xzzsot Contacto: 328 660 6638.,1
Recuerda que mañana hay clase a las 8:00.,0
Tu beneficio vence el miércoles. Reclama $39.900 COP en https://www.soporte.info/link?t=ivjedvfu,1
"Voy en camino, llego en 15 minutos.",0
Sigues interesado en la oferta Quedo atento.,1
👍Oferta exclusiva 60% OFF. Solo hoy: https://m.banco.site/curso?t=ygq4u075,1
Alerta banco: intento de compra. Confirma en https://www.super.info/invitacion?t=pxio1ftn Contacto: 365 826 3427.,1
Tu beneficio vence el miércoles. Reclama $199.000 COP en https://universidad.site/ver?t=nql8f Contacto: 388 880 4657.,1
Oferta exclusiva 20% OFF. Solo hoy: https://empleo.com/archivo?t=7orzot,1
"Estoy en Bogotá por trabajo, regreso el domingo.😊",0
Crédito preaprobado hasta $39.900 COP. Responde SI para info 💳,1
Te comparto el enlace del drive del proyecto: https://promo.org/link?t=f3oe40bp2k,0
Tu beneficio vence esta noche. Reclama $19.900 COP en https://secure.super.co/detalle?t=l7rgwg,1
"Te envié un enlace, revísalo por favor: https://www.maps.net/logint=g4quw",0
"Hola Paula, ¿a qué hora nos vemos mañana para la reunión?",0
Te comparto el enlace del drive del proyecto: https://m.promo.info/ver?t=g0i2sn0fw6,0
Me llegó una alerta del banco; voy a llamar para confirmar y te cuento.,0
Aquí está el link del curso para el jueves: https://www.empleo.org/archivo?t=7fikbbea,0
"El mensajero dijo que el paquete llega el miércoles, ojalá sin problema.",0
Último aviso: verifica tu cuetna en https://super.site/promo?t=ygvmxpu ✅,1
"La factura del internet ya quedó pagada, te mando el comprobante por https://super.net/login?t=3bnf45lq",0
¿Me puedes enviar el archivo que mencionaste? Gracias.👍,0
Tenemos una oportunidad laboral con pago semanal. ¿Te interesa? 💰,1
"El mensajero dijo que el paquete llega este fin de semana, ojalá sin problema.👍",0
"Voy en camino, llego en 15 minutos.😊",0
Crédito preaprobado hasta $14.900 COP. Responde SI para info 🎁 Contacto: 354 398 3335.,1
💰Has ganado un premio en Cali. Confirma datos en https://drive.site/ver?t=mjthk,1
Alerta banco: intento de compra. Confirma en https://m.meet.info/invitaciont=xf9by 📦,1
Me llegó una alerta del banco; voy a llamar para confirmar y te cuento.👍 (ref 6811),0
"Te envié un enlace, revísalo por favor: https://secure.super.site/invitacion?t=fxex68",0
Se aprobó tu solicitud. Envía tu número de documento para continuar 🔥,1
"Estoy en Villavicencio por trabajo, regreso el domingo.",0
"Hola Paula, por favor confirma si recibiste el mensaje anterior",0
⚠️Tu paquete está retenido. Confirma pago de $39.900 COP en https://secure.tienda.co/ver?t=ugru2wb91,1
Me llegó una alerta del banco; voy a llamar para confirmar y te cuento.,0
¿Puedes revisar el documento y decirme si está listo para enviar?🙏,0
¿Puedes revisar el documento y decirme si está listo para enviar?,0
"Voy en camino, llego en 15 minutos.😊",0
💰Tu paquete está retenido. Confirma pago de $599.000 en https://secure.tienda.org/login?t=pnvv1g,1
¿Me puedes enviar el archivo que mencionaste? Gracias.,0
🔥FELICIDADES Luis: bono de $14.900 COP. Reclama en https://m.tienda.co/link?t=ks1kwhbvz Contacto: 357 629 2246.,0
Crédito preaprobado hasta 129.000 COP. Responde SI para info,1
Aquí está el link del curso para el martes: https://app.empleo.co/invitacion?t=o1z861z4,0
"Hola Valentina, ¿a qué hora nos vemos esta noche pa la reunión?",0
"La factura del internet ya quedó pagada, te mando el comprobante por https://www.paqueteria.co/pedido?t=qf1hzazhfr",0
Tenemos una oportunidad laboral con pago semanal. ¿Te interesa? Contacto: 345 695 6166.,1
Confirmación requerida para evitar el bloqueo de tu cuenta. Responde 'OK'. URGENTE,1
"Hola Camila, ¿a qué hora nos vemos el viernes para la reunión?",0
"Estoy en Bucaramanga por trabajo, regreso el domingo.",0
Tenemos una oportunidad laboral con pago semanal. ¿Te interesa? 💳,1
¿Puedes revisar el documento y decirme si está listo para enviar?,0
"La factura del internet ya quedó pagada, te mando el comprobante por https://secure.paqueteria.info/promo?t=ee5fog👍",1
"La factura del internet ya quedó pagada, te mando el comprobante por https://m.docs.com/promot=9zqpigog",0
Puedes revisar el documento y decirme si está listo para enviar,0
Viste la promo del supermercado Hay 30% en algunos productos.,0
Tu beneficio vence mañana. Reclama $129.000 en https://secure.soporte.co/ver?t=jbyditdvs,1
¿Me puedes enviar el archivo que mencionaste? Gracias.,0
Alerta banco: intento de compra. Confirma en https://tienda.info/pedido?t=1uxo00xgh,1
Alerta banco: intento de compra. Confirma en https://secure.soporte.site/invitacion?t=ok563o ⚠️,1
¿Puedes revisar el documento y decirme si está listo para enviar?,0
"Hola Valentina, por favor confirma si recibiste el mensaje anterior 💰",1
🎁Tu paquete está retenido. Confirma pago de 9.900 COP en https://app.super.info/login?t=iwkwa,1
Oferta exclusiva 25% OFF. Solo hoy: https://www.drive.site/archivo?t=vpmxbnk Contacto: 367 210 1558.,1
"Hola Daniel, por favor confirma si recibiste el mensaje anterior",1
"Voy en camino, llego en 15 minutos.",0
🎁FELICIDADES Carlos: bono de $19.900 COP. Reclama en https://www.promo.com/pedido?t=obqvi Contacto: 332 610 6695.,1
¿Puedes revisar el documento y decirme si está listo para enviar?👍,0
Alerta banco: intento de compra. Confirma en https://m.universidad.site/invitacion?t=79d6ktesa,1
Recuerda que mañana hay clase a las 8:00.,0
Confirmación requerida para evitar el bloqueo de tu cuenta. Responde 'OK'.,1
"El mensajero dijo que el paquete llega el miércoles, ojalá sin problema.",0
Tenemos una oportunidad laboral con pago semanal. ¿Te interesa? URGENTE,1
Te comparto el enlace del drive del proyecto: https://www.super.info/detalle?t=bqlu8h9yxk,0
"Hola Ana, por favor confirma si recibiste el mensaje anterior",1
"Aprovecha 50% de descuento, si te interesa te paso detalles.",1
"Estoy en Villavicencio por trabajo, regreso el domingo.",0
Se aprobó tu solicitud. Envía tu número de documento para continuar,1
¿Puedes revisar el documento y decirme si está listo para enviar?,0
Confirmación requerida para evitar el bloqueo de tu cuenta. Responde 'OK'.,1
"La factura del internet ya quedó pagada, te mando el comprobante por https://app.promo.com/ver?t=c48nc8a",0
Oferta exclusiva 10% OFF. Solo hoy: https://secure.universidad.net/invitacion?t=gzdif,1
Tu beneficio vence mañana. Reclama $399.000 COP en https://www.maps.co/promo?t=22pz52jkif Contacto: 375 616 2180.,1
¿Me puedes enviar el archivo que mencionaste? Gracias.,0
¿Puedes revisar el documento y decirme si está listo para enviar?,0
"Te envié un enlace, revísalo por favor: https://app.drive.net/ver?t=lhpv69t368 (ref 2315)",0
Puedes revisar el documento y decirme si está listo para enviar,0
Alerta banco: intento de compra. Confirma en https://app.drive.net/pedido?t=hmnwp,1
Alerta banco: intento de compra. Confirma en https://m.drive.net/invitacion?t=zat77s 💳,1
"El mensajero dijo que el paquete llega el viernes, ojalá sin problema.",0
¿Puedes confirmar tu dirección en Bogotá para la entrega?,0
¿Sigues interesado en la oferta? Quedo atento. URGENTE,1
"Aprovecha 30% de descuento, si te interesa te paso detalles.",1
Necesitamos validar unos datos para continuar. ¿Puedes responder cuando puedas?🙏 (ref 8954),0
"El mensajero dijo que el paquete llega el miércoles, ojalá sin problema.",0
Tenemos una oportunidad laboral con pago semanal. ¿Te interesa?,1
"Hola Valentina, por favor confirma si recibiste el mensaje anterior ✅",0
Confirmación requerida para evitar el bloqueo de tu cuenta. Responde 'OK'.,1
Último aviso: verifica tu cuenta en https://secure.soporte.info/login?t=mp4lt 💰,1
📦Tu paquete está retenido. Confirma pago de $99.000 en https://secure.promo.com/ver?t=4d90n867as,1
Se aprobó tu solicitud. Envía tu número de documento para continuar 🙏,1
Tu paquete está retenido. Confirma pago de $129.000 en https://m.maps.site/ver?t=qwwmguv5ta,1
Alerta banco: intento de compra. Confirma en https://www.paqueteria.com/link?t=u04biebm0 URGENTE,1
Recuerda que mañana hay clase a las 8:00.,0
"Estoy en Pereira por trabajo, regreso el domingo.",1
Tu beneficio vence el jueves. Reclama $79.900 COP en https://m.empleo.org/detalle?t=ppuu579,1
Se aprobó tu solicitud. Envía tu número de documento para continuar 📦,1
Último aviso: verifica tu cuenta en https://secure.paqueteria.site/pedido?t=sob4y 💰,1
😊Has ganado un premio en Manizales. Confirma datos en https://secure.super.net/confirmar?t=9h8wq URGENTE,1
Último aviso: verifica tu cuenta en https://www.promo.site/curso?t=8vlltr771 🙏,1
¿Sigues interesado en la oferta? Quedo atento.👍,0
Recuerda que mañana hay clase a las 8:00.,0
Último aviso: verifica tu cuenta en https://secure.drive.site/invitacion?t=zjt99,1
"Hola Diana, ¿a qué hora nos vemos el martes para la reunión?",0
Alerta banco: intento de compra. Confirma en https://app.super.org/link?t=qflzu46fq 📦 Contacto: 367 200 6277.,1
¿Me puedes enviar el archivo que mencionaste? Gracias.😊,0
Confirmación requerida para evitar el bloqueo de tu cuenta. Responde 'OK'.,1
Alerta banco: intento de compra. Confirma en https://www.maps.co/login?t=ctp08gu517 💳,1
📦Oferta exclusiva 50% OFF. Solo hoy: https://secure.super.com/confirmar?t=cwcio Contacto: 378 463 8908.,1
💰Has ganado un premio en Barranquilla. Confirma datos en https://tienda.com/ver?t=n83mvy2c6,1
Aquí está el link del curso para mañana: https://app.docs.org/confirmar?t=2mdxf8sl,0
"El mensajero dijo que el paquete llega este fin de semana, ojalá sin problema.😊",0
Alerta banco: intento de compra. Confirma en https://m.docs.co/archivo?t=fh37qtzzqv 📦,1
Necesitamos validar unos datos para continuar. ¿Puedes responder cuando puedas?,0
"Te envié un enlace, revísalo por favor: https://m.empleo.com/detalle?t=9qvtf4o9",1
Me llegó una alerta del banco; voy a llamar para confrm y te cuento. (ref 1038),0
"Hola Andrés, por favor confirma si recibiste el mensaje anterior 🎁 URGENTE",1
¿Me puedes enviar el archivo que mencionaste? Gracias.,0
¿Me puedes enviar el archivo que mencionaste? Gracias.,0
"La factura del internet ya quedó pagada, te mando el comprobante por https://www.drive.net/pedido?t=eqmth40bo",0
Tu beneficio vence el jueves. Reclama $199.000 en https://www.drive.info/detalle?t=9spc05o Contacto: 305 473 6248.,1
Me llegó una alerta del banco; voy a llamar para confirmar y te cuento.,0
Crédito preaprobado hasta 199.000 COP. Responde SI para info 🎁 URGENTE,1
Último aviso: verifica tu cuenta en https://www.universidad.co/pedido?t=l0ehaqpvi ✅ Contacto: 331 658 7464. URGENTE,1
¿Sigues interesado en la oferta? Quedo atento.,0
Aquí está el link del curso para el jueves: https://www.promo.site/pedido?t=hzrzhjtigd👍,0
Tu beneficio vence este fin de semana. Reclama $99.000 COP en https://www.maps.co/login?t=nwpu5,1
"Estoy en Cali por trabajo, regreso el domingo. (ref 5738)",0
¿Viste la promo del supermercado? Hay 40% en algunos productos. (ref 5937),0
Tu beneficio vence el miércoles. Reclama $59.000 en https://www.promo.co/promot=oduj8y3 Contacto: 343 784 9402.,1
"Te envié un enlace, revísalo por favor: https://m.promo.com/archivo?t=1bul4f4rm1🙏",0
"Hola Mateo, necesitamos confirmar tu información para completar el registro. Responde este mensaje.",1
"Hola Carlos, necesitamos confirmar tu información para completar el registro. Responde este mensaje.",1
¿Me puedes enviar el archivo que mencionaste? Gracias.🙏,0
💳Tu paquete está retenido. Confirma pago de $129.000 en https://universidad.co/promo?t=31vvze,1
"El mensajero dijo que el paquete llega esta noche, ojalá sin problema.",0
Oferta exclusiva 25% OFF. Solo hoy: https://app.super.co/curso?t=ggf5r9vrjx,1
"Voy en camino, llego en 15 minutos.",1
"Te envié un enlace, revísalo por favor: https://maps.net/confirmar?t=tl8tx👍",0
Último aviso: verifica tu cuenta en https://secure.meet.com/curso?t=o4ogq9ug Contacto: 362 263 5491.,1
Confirmación requerida para evitar el bloqueo de tu cuenta. Responde 'OK'. Contacto: 305 731 9646.,1
⚠️Oferta exclusiva 40% OFF. Solo hoy: https://promo.org/login?t=jb0rj170y,1
"Voy en camino, llego en 15 minutos.",0
Me llegó una alerta del banco; voy a llamar para confirmar y te cuento.,0
Alerta banco: intento de compra. Confirma en https://m.super.info/login?t=dnguoyqyrv ⚠️,1
Último aviso: verifica tu cuenta en https://m.drive.co/link?t=lg3tb6v 💳,1
"Aprovecha 40% de descuento, si te interesa te paso detalles.",0
"Estoy en Villavicencio por trabajo, regreso el domingo.",1
Tu beneficio vence este fin de semana. Reclama $599.000 COP en https://app.docs.co/archivo?t=f2qrbwt,1
"Hola Juan, a qué hora nos vemos el viernes pa la reunión",0
FELICIDADES Andrés: bono de $49.900 COP. Reclama en https://banco.co/ver?t=z9ho4,1
Tu paquete está retenido. Confirma pago de $129.000 COP en https://www.universidad.com/curso?t=htrdst3s,0
Tu paquete está retenido. Confirma pago de $99.000 en https://www.tienda.com/detallet=rrx2t URGENTE,1
"Voy en camino, llego en 15 minutos.",0
Crédito preaprobado hasta $129.000 COP. Responde SI para info 😊,1
🔥Oferta exclusiva 50% OFF. Solo hoy: https://m.tienda.net/login?t=1hcdzri3,0
"Hola Juan, ¿a qué hora nos vemos mañana para la reunión?",0
"Te envié un enlace, revísalo por favor: https://secure.maps.info/detallet=d0udgxcg81 Contacto: 349 330 7329.",1
"Te envié un enlace, revísalo por favor: https://www.soporte.net/archivo?t=r0dgvrm😊",0
Recuerda que mañana hay clase a las 8:00.,0
Tenemos una oportunidad laboral con pago semanal. ¿Te interesa?,1
💳Oferta exclusiva 20% OFF. Solo hoy: https://paqueteria.org/ver?t=8ddoz9,1
¿Viste la promo del supermercado? Hay 25% en algunos productos.,0
"Voy en camino, llego en 15 minutos.",0
⚠️FELICIDADES Juan: bono de $14.900. Reclama en https://universidad.info/promo?t=6cugu3,1
"Voy en camino, llego en 15 minutos.",0
"Hola Juan, necesitamos confirmar tu información para completar el registro. Responde este mensaje.",1
👍Oferta exclusiva 60% OFF. Solo hoy: https://secure.maps.co/confirmar?t=9gk3pd1vvg,1
Tenemos una oportunidad laboral con pago semanal. ¿Te interesa? 🙏,1
¿Me puedes enviar el archivo que mencionaste? Gracias.,0
Confirmación requerida para evitar el bloqueo de tu cuenta. Responde 'OK'.,1
💳Tu paquete está retenido. Confirma pago de $14.900 en https://www.maps.co/pedido?t=ekybpy08,1
¿Sigues interesado en la oferta? Quedo atento.,1
Alerta banco: intento de compra. Confirma en https://meet.net/confirmar?t=cuk4yqpo 💳,1
😊Oferta exclusiva 30% OFF. Solo hoy: https://secure.banco.co/ver?t=1fbg4z8,1
🎁Tu paquete está retenido. Confirma pago de $29.900 COP en https://www.drive.net/ver?t=6ruz8,1
Crédito preaprobado hasta $9.900 COP. Responde SI para info 📦,1
Confirmación requerida para evitar el bloqueo de tu cuenta. Responde 'OK'.,1
"Voy en camino, llego en 15 minutos.",0
"Hola Diana, necesitamos confirmar tu información para completar el registro. Responde este mensaje.",1
"Estoy en Santa Marta por trabajo, regreso el domingo.",0
¿Puedes revisar el documento y decirme si está listo para enviar?,0
"Te envié un enlace, revísalo por favor: https://app.soporte.org/ver?t=ndajwyg",1
🔥Tu paquete está retenido. Confirma pago de $99.000 en https://secure.soporte.com/promo?t=kkbcc,1
⚠️FELICIDADES Andrés: bono de 129.000 COP. Reclama en https://www.maps.co/ver?t=a0l8i83 Contacto: 385 743 7937.,1
Me llegó una alerta del banco; voy a llamar para confirmar y te cuento.,0
"Aprovecha 30% de descuento, si te interesa te paso detalles.",1
Tu beneficio vence la próxima semana. Reclama 599.000 COP en https://secure.soporte.info/confirmar?t=xaibuf2,1
"Hola Paula, necesitamos confirmar tu información para completar el registro. Responde este mensaje. Contacto: 305 261 3358.",1
¿Sigues interesado en la oferta? Quedo atento.,1
Último aviso: verifica tu cuenta en https://m.promo.org/login?t=rov879ckko ⚠️ Contacto: 394 333 6932.,1
"El mensajero dijo que el paquete llega el martes, ojalá sin problema.",0
Se aprobó tu solicitud. Envía tu número de documento para continuar URGENTE,1
"Aprovecha 40% de descuento, si te interesa te paso detalles.",1
Aquí está el link del curso para el jueves: https://app.maps.org/detalle?t=bo6xqce3yh (ref 1697),0
Último aviso: verifica tu cuenta en https://m.maps.org/ver?t=hnp5f5f2ld 💳 Contacto: 312 784 1674.,1
"Hola Juan, ¿a qué hora nos vemos el martes para la reunión?",0
"El mensajero dijo que el paquete llega la próxima semana, ojalá sin problema.",0
"Hola María, necesitamos confirmar tu información para completar el registro. Responde este mensaje.",1
¿Sigues interesado en la oferta? Quedo atento.,0
Se aprobó tu solicitud. Envía tu número de documento para continuar 💰,1
Alerta banco: intento de compra. Confirma en https://secure.maps.co/link?t=29j7dsr09 ✅,1
Tu beneficio vence este fin de semana. Reclama $49.900 COP en https://m.soporte.org/confirmar?t=40pv7,1
Recuerda que manana hay clase a las 8:00. (ref 9602),0
"El mensajero dijo que el paquete llega el viernes, ojalá sin problema.🙏",0
"Hola Paula, por favor confirma si recibiste el mensaje anterior",1
Último aviso: verifica tu cuenta en https://app.soporte.site/pedido?t=jtg3g0y 😊,1
Aquí está el link del curso para el martes: https://m.empleo.com/detalle?t=9rksg3l,0
"Voy en camino, llego en 15 minutos.",0
¿Puedes revisar el documento y decirme si está listo para enviar? (ref 2802),0
¿Puedes revisar el documento y decirme si está listo para enviar?😊,0
¿Viste la promo del supermercado? Hay 60% en algunos productos.,1
⚠️Tu paquete está retenido. Confirma pago de $39.900 COP en https://www.empleo.com/link?t=dqf29o6,1
"Voy en camino, llego en 15 minutos.",0
¿Sigues interesado en la oferta? Quedo atento. Contacto: 318 584 3123.,1
Crédito preaprobado hasta 129.000 COP. Responde SI para info,1
"Estoy en Barranquilla por trabajo, regreso el domingo.🙏",0
Último aviso: verifica tu cuenta en https://m.tienda.net/detalle?t=nu7b8cwadz ⚠️,1
Te comparto el enlace del drive del proyecto: https://www.empleo.org/archivo?t=l9vrz6y70🙏,0
¿Me puedes enviar el archivo que mencionaste? Gracias. (ref 7554),0
¿Me puedes enviar el archivo que mencionaste? Gracias. (ref 8264),0
Tu paquete está retenido. Confirma pago de $79.900 COP en https://app.banco.info/link?t=ssp3zxuf,1
"Hola Luis, por favor confirma si recibiste el mensaje anterior 🔥",1
Último aviso: verifica tu cuenta en https://app.drive.site/curso?t=949ovn 🔥,1
"Aprovecha 30% de descuento, si te interesa te paso detalles.",0
"El mensajero dijo que el paquete llega el miércoles, ojalá sin problema.",0
"Hola Luis, ¿a qué hora nos vemos el martes para la reunión?",0
"Hola Sofía, ¿a qué hora nos vemos el martes para la reunión? (ref 4083)",0
Confirmación requerida para evitar el bloqueo de tu cuenta. Responde 'OK'.,1
Recuerda que mañana hay clase a las 8:00.,0
"Estoy en Medellín por trabajo, regreso el domingo.",0
"Voy en camino, llego en 15 minutos.",0
"Hola Ana, necesitamos confirmar tu información para completar el registro. Responde este mensaje. URGENTE",1
💰Has ganado un premio en Manizales. Confirma datos en https://app.banco.org/ver?t=ohnuqm,1
"Hola Camila, necesitamos confirmar tu información para completar el registro. Responde este mensaje.",1
Recuerda que mañana hay clase a las 8:00.,0
Te comparto el enlace del drive del proyecto: https://secure.paqueteria.org/curso?t=ibr3j,0
Tenemos una oportunidad laboral con pago semanal. ¿Te interesa? 🎁,1
¿Puedes revisar el documento y decirme si está listo para enviar?,0
"Hola Sebastián, ¿a qué hora nos vemos el viernes para la reunión?",0
